S.No,Text,x0,y0,x1,y1,Page_No,height,width 
1446,,229,54,303,61,4,7,73
1447,,303,54,355,61,4,7,52
1448,,355,54,418,61,4,7,62
1449,,418,54,486,61,4,7,67
1450,Policies and Procedures - UCM System,54,778,244,794,5,15,190
1451,Page 4 of 8,503,778,558,794,5,15,54
1452,http://mayocontent.mayo.edu/dlmpaz/print/DOCMAN-0000116187,54,0,379,15,5,15,325
1453,6/13/2014,509,0,558,15,5,15,48
1454,,0,0,612,792,5,791,612
1455,ImmunoglobulinGImmunoglobulinMIonizedCalciumIronIronBindingCapacityLactateLD,57,60,169,739,5,679,111
1456,,57,724,63,739,5,14,5
1457,,57,711,63,726,5,14,5
1458,,57,692,63,707,5,14,5
1459,,57,673,63,688,5,14,5
1460,,57,660,63,675,5,14,5
1461,,57,647,63,662,5,14,5
1462,,57,634,63,649,5,14,5
1463,,57,621,63,636,5,14,5
1464,,57,608,63,622,5,14,5
1465,,57,595,63,609,5,14,5
1466,Immunoglobulin G,57,581,153,596,5,14,95
1467,,57,568,63,582,5,14,5
1468,,57,555,63,569,5,14,5
1469,,57,542,63,556,5,14,5
1470,,57,523,63,537,5,14,5
1471,,57,504,63,518,5,14,5
1472,,57,491,63,505,5,14,5
1473,,57,478,63,492,5,14,5
1474,,57,465,63,479,5,14,5
1475,,57,452,63,466,5,13,5
1476,,57,439,63,453,5,14,5
1477,,57,425,63,440,5,14,5
1478,Immunoglobulin M,57,412,154,427,5,14,96
1479,,57,399,63,413,5,14,5
1480,,57,386,63,400,5,14,5
1481,,57,373,63,387,5,14,5
1482,,57,354,63,368,5,14,5
1483,,57,335,63,349,5,13,5
1484,,57,322,63,336,5,13,5
1485,,57,309,63,323,5,13,5
1486,,57,296,63,310,5,13,5
1487,,57,283,63,297,5,13,5
1488,,57,270,63,283,5,13,5
1489,,57,256,63,270,5,14,5
1490,Ionized Calcium,57,243,140,258,5,14,82
1491,,57,230,63,244,5,14,5
1492,,57,217,63,231,5,14,5
1493,Iron,57,204,83,219,5,14,25
1494,Iron Binding Capacity,57,191,169,206,5,14,111
1495,Lactate,57,178,97,192,5,14,39
1496,LD,57,165,77,179,5,14,19
1497,,57,152,63,165,5,13,5
1498,,57,138,63,152,5,13,5
1499,,57,125,63,139,5,14,5
1500,,57,112,63,126,5,14,5
1501,,57,99,63,113,5,14,5
1502,,57,86,63,100,5,14,5
1503,,57,73,63,87,5,14,5
1504,,57,60,63,74,5,14,5
1505,5M - 8M,185,724,226,738,5,14,41
1506,9M - 14M,182,711,229,725,5,14,47
1507,15M -,190,698,220,712,5,14,29
1508,23M,194,686,217,700,5,14,23
1509,2 - 3,193,673,217,687,5,14,23
1510,4 - 6,193,660,217,674,5,14,23
1511,7 - 9,193,647,217,661,5,14,23
1512,10 - 12,188,634,223,648,5,14,35
1513,13 - 15,188,621,223,635,5,14,35
1514,16 - 17,188,608,223,622,5,14,35
1515,>18,195,595,216,609,5,14,20
1516,Age,195,581,216,596,5,14,21
1517,< or = 4M,181,568,229,582,5,14,47
1518,5M - 8M,185,555,226,569,5,14,41
1519,9M - 14M,182,542,229,556,5,14,47
1520,15M –,189,529,222,543,5,14,32
1521,23M,194,517,217,531,5,14,23
1522,24M – 3Y,181,504,229,518,5,14,47
1523,4 - 6,193,491,217,505,5,14,23
1524,7 – 9,192,478,218,492,5,14,26
1525,10 - 12,188,465,223,479,5,14,35
1526,13 – 15,186,452,224,466,5,14,37
1527,16 - 17,188,439,223,453,5,14,35
1528,> 18,194,425,217,440,5,14,23
1529,Age,195,412,216,426,5,14,21
1530,0 – 4M,188,399,223,413,5,14,34
1531,5M – 8M,183,386,227,400,5,14,43
1532,9M – 14M,181,373,230,387,5,14,49
1533,15M -,190,360,220,374,5,14,29
1534,23M,194,348,217,362,5,14,23
1535,2Y – 3Y,185,335,225,349,5,14,40
1536,4 – 6,192,322,218,336,5,14,26
1537,7 - 9,193,309,217,323,5,14,23
1538,10 – 12,186,296,224,310,5,14,37
1539,13 - 15,188,283,223,297,5,14,35
1540,16 – 17,186,269,224,284,5,14,37
1541,>18,195,256,216,270,5,14,20
1542,Age,195,243,216,257,5,14,21
1543,1 - 19,190,230,220,244,5,14,29
1544,>20,195,217,216,231,5,14,20
1545,10-87,252,724,278,738,5,14,26
1546,17-94,252,711,278,725,5,14,26
1547,22-178,249,692,284,706,5,14,35
1548,24-192,249,673,281,687,5,14,32
1549,26-232,249,660,281,674,5,14,32
1550,33-258,249,647,281,661,5,14,32
1551,45-285,249,634,281,648,5,14,32
1552,47-317,249,621,281,635,5,14,32
1553,55-377,249,608,281,622,5,14,32
1554,50-400,249,595,281,609,5,14,32
1555,Normal,248,581,282,596,5,14,34
1556,100 – 334,242,568,289,582,5,14,46
1557,164 - 588,243,555,287,569,5,14,44
1558,246 – 904,242,542,289,556,5,14,46
1559,313-1170,243,523,290,537,5,14,47
1560,295-1156,243,504,287,518,5,14,44
1561,386 - 1470,240,491,290,505,5,14,50
1562,462 - 1682,240,478,290,492,5,14,50
1563,503 – 1719,239,465,291,479,5,14,52
1564,509 – 1580,239,452,291,466,5,14,52
1565,487 - 1327,240,439,290,453,5,14,50
1566,767 – 1590,239,425,291,440,5,14,52
1567,Normal,248,412,282,426,5,14,34
1568,26 - 122,246,399,284,413,5,14,38
1569,32 - 132,246,386,284,400,5,14,38
1570,40 - 143,246,373,284,387,5,14,38
1571,46 – 152,244,354,288,368,5,14,43
1572,37 – 184,244,335,286,349,5,14,41
1573,37 – 224,244,322,286,336,5,14,41
1574,38 – 251,244,309,286,323,5,14,41
1575,41 – 255,244,296,286,310,5,14,41
1576,45 – 244,244,283,286,297,5,14,41
1577,49 – 201,244,269,286,284,5,14,41
1578,37 – 286,244,256,286,270,5,14,41
1579,Normal,248,243,282,257,5,14,34
1580,4.9 - 5.5,246,230,284,244,5,14,38
1581,4.5 - 5.3,246,217,284,231,5,14,38
1582,>18,320,595,338,609,5,14,17
1583,Age,320,581,338,596,5,14,18
1584,15M –,314,529,347,543,5,14,32
1585,23M,319,517,339,531,5,14,20
1586,2 -3,320,673,341,687,5,14,21
1587,4 - 6,318,660,340,674,5,14,21
1588,7 - 9,318,647,340,661,5,14,21
1589,10 - 12,313,634,345,648,5,14,32
1590,13 - 15,313,621,345,635,5,14,32
1591,16 - 17,313,608,345,622,5,14,32
1592,10-87,373,724,400,738,5,14,26
1593,5M - 8M,310,724,348,738,5,14,38
1594,17-94,373,711,400,725,5,14,26
1595,9M - 14M,307,711,351,725,5,14,44
1596,15M - 23M 22-178,304,692,406,706,5,14,101
1597,24-192,370,673,403,687,5,14,32
1598,26-232,370,660,403,674,5,14,32
1599,33-258,370,647,403,661,5,14,32
1600,45-285,370,634,403,648,5,14,32
1601,47-317,370,621,403,635,5,14,32
1602,55-377,370,608,403,622,5,14,32
1603,50-400,370,595,403,609,5,14,32
1604,Normal,369,581,403,596,5,14,34
1605,< or = 4M 100 – 334,306,568,410,582,5,14,103
1606,5M - 8M 164 - 588,310,555,409,569,5,14,99
1607,9M - 14M 246 – 904,307,542,410,556,5,14,103
1608,313-1170,364,523,411,537,5,14,47
1609,24M – 3Y 295-1156,306,504,409,518,5,14,102
1610,386 - 1470,361,491,412,505,5,14,50
1611,462 - 1682,361,478,412,492,5,14,50
1612,503 – 1719,360,465,413,479,5,14,52
1613,509 – 1580,360,452,413,466,5,14,52
1614,487 - 1327,361,439,412,453,5,14,50
1615,767 – 1590,360,425,413,440,5,14,52
1616,4 - 6,318,491,340,505,5,14,21
1617,7 – 9,317,478,341,492,5,14,23
1618,10 - 12,313,465,345,479,5,14,32
1619,13 – 15,311,452,347,466,5,14,35
1620,16 - 17,313,439,345,453,5,14,32
1621,> 18,319,425,339,440,5,14,20
1622,4 - 6 7 – 9 10 - 12 13 – 15 16 - 17 > 18,304,217,410,505,5,288,105
1623,Normal,369,412,403,426,5,14,34
1624,Age,320,412,338,426,5,14,18
1625,0 – 4M,313,399,345,413,5,14,32
1626,26 - 122,367,399,406,413,5,14,38
1627,5M – 8M 32 - 132,309,386,406,400,5,14,97
1628,9M – 14M 40 - 143,306,373,406,387,5,14,100
1629,15M - 23M 46 – 152,304,354,410,368,5,14,105
1630,37 – 184,366,335,407,349,5,14,41
1631,2Y – 3Y,310,335,348,349,5,14,37
1632,37 – 224,366,322,407,336,5,14,41
1633,4 – 6,317,322,341,336,5,14,23
1634,7 - 9,318,309,340,323,5,14,21
1635,38 – 251,366,309,407,323,5,14,41
1636,41 – 255,366,296,407,310,5,14,41
1637,45 – 244,366,283,407,297,5,14,41
1638,49 – 201,366,269,407,284,5,14,41
1639,37 – 286,366,256,407,270,5,14,41
1640,Normal,369,243,403,257,5,14,34
1641,4.9 - 5.5,367,230,406,244,5,14,38
1642,4.5 - 5.3,367,217,406,231,5,14,38
1643,>18,320,256,338,270,5,14,17
1644,Age,320,243,338,257,5,14,18
1645,1 - 16,316,230,343,244,5,14,26
1646,>17,320,217,338,231,5,14,17
1647,10 – 12,311,296,347,310,5,14,35
1648,13 - 15,313,283,345,297,5,14,32
1649,16 – 17,311,269,347,284,5,14,35
1650,35 - 145,341,204,379,218,5,14,38
1651,250 - 400,338,191,382,205,5,14,44
1652,0.93 – 1.65,334,178,386,192,5,14,52
1653,50 - 150,220,204,259,218,5,14,38
1654,250 - 400,217,191,262,205,5,14,44
1655,0.93 – 1.65,213,178,266,192,5,14,52
1656,Age,195,165,216,179,5,14,21
1657,0-4W,191,151,219,166,5,14,27
1658,5W-1Y,188,138,223,152,5,14,34
1659,1 - 3,193,125,217,139,5,14,23
1660,4 - 6,193,112,217,126,5,14,23
1661,7- 9,195,99,216,113,5,14,20
1662,10 - 12,188,86,223,100,5,14,35
1663,13 - 15,188,73,223,87,5,14,35
1664,16 - 17,188,60,223,74,5,14,35
1665,Normal,248,165,282,179,5,14,34
1666,135-750,246,152,284,166,5,14,38
1667,180-435,246,138,284,152,5,14,38
1668,160 - 370,243,125,287,139,5,14,44
1669,145 - 345,243,112,287,126,5,14,44
1670,143 - 290,243,99,287,113,5,14,44
1671,120 - 293,243,86,287,100,5,14,44
1672,110 - 283,243,73,287,87,5,14,44
1673,105 - 233,243,60,287,74,5,14,44
1674,Age,320,165,338,179,5,14,18
1675,0-4W,304,152,329,166,5,14,25
1676,5W-1Y,304,138,336,152,5,14,32
1677,1 - 3,318,125,340,139,5,14,21
1678,4 - 6,318,112,340,126,5,14,21
1679,7- 9,320,99,338,113,5,14,18
1680,10 - 12,313,86,345,100,5,14,32
1681,13 - 15,313,73,345,87,5,14,32
1682,16 - 17,313,60,345,74,5,14,32
1683,Normal,369,165,403,179,5,14,34
1684,135-750,356,152,394,166,5,14,38
1685,180-435,356,138,394,152,5,14,38
1686,160 - 370,364,125,409,139,5,14,44
1687,145 - 345,364,112,409,126,5,14,44
1688,143 - 290,364,99,409,113,5,14,44
1689,120 - 293,364,86,409,100,5,14,44
1690,110 - 283,364,73,409,87,5,14,44
1691,105 - 233,364,60,409,74,5,14,44
1692,mg/dL,437,724,469,738,5,14,31
1693,mg/dL,437,711,469,725,5,14,31
1694,mg/dL,437,692,469,706,5,14,31
1695,mg/dL,437,673,469,687,5,14,31
1696,mg/dL,437,660,469,674,5,14,31
1697,mg/dL,437,647,469,661,5,14,31
1698,mg/dL,437,634,469,648,5,14,31
1699,mg/dL,437,621,469,635,5,14,31
1700,mg/dL,437,608,469,622,5,14,31
1701,mg/dL,437,595,469,609,5,14,31
1702,,450,581,456,596,5,14,5
1703,mg/dL,437,568,469,582,5,14,31
1704,mg/dL,437,555,469,569,5,14,31
1705,mg/dL,437,542,469,556,5,14,31
1706,mg/dL,437,523,469,537,5,14,31
1707,mg/dL,437,504,469,518,5,14,31
1708,mg/dL,437,491,469,505,5,14,31
1709,mg/dL,437,478,469,492,5,14,31
1710,mg/dL,437,465,469,479,5,14,31
1711,mg/dL,437,452,469,466,5,14,31
1712,mg/dL,437,439,469,453,5,14,31
1713,mg/dL,437,425,469,440,5,14,31
1714,,450,412,456,426,5,14,5
1715,mg/dL,437,399,469,413,5,14,31
1716,mg/dL,437,386,469,400,5,14,31
1717,mg/dL,437,373,469,387,5,14,31
1718,mg/dL,437,354,469,368,5,14,31
1719,mg/dL,437,335,469,349,5,14,31
1720,mg/dL,437,322,469,336,5,14,31
1721,mg/dL,437,309,469,323,5,14,31
1722,mg/dL,437,296,469,310,5,14,31
1723,mg/dL,437,283,469,297,5,14,31
1724,mg/dL,437,269,469,284,5,14,31
1725,mg/dL,437,256,469,270,5,14,31
1726,,450,243,456,257,5,14,5
1727,mg/dL,437,230,469,244,5,14,31
1728,mg/dL,437,217,469,231,5,14,31
1729,mcg/dL,434,204,472,218,5,14,37
1730,mcg/dL,434,191,472,205,5,14,37
1731,mmol/L,434,178,472,192,5,14,37
1732,,450,165,456,179,5,14,5
1733,U/L,444,125,463,139,5,14,19
1734,U/L,444,112,463,126,5,14,19
1735,U/L,444,99,463,113,5,14,19
1736,U/L,444,86,463,100,5,14,19
1737,U/L,444,73,463,87,5,14,19
1738,U/L,444,60,463,74,5,14,19
1739,,418,152,424,165,5,13,5
1740,,418,138,424,152,5,13,5
1741,,57,724,179,737,5,13,122
1742,,179,724,229,737,5,13,50
1743,,229,724,303,737,5,13,73
1744,,303,724,355,737,5,13,52
1745,,418,724,486,737,5,13,67
1746,,57,711,179,724,5,13,122
1747,,179,711,229,724,5,13,50
1748,,229,711,303,724,5,13,73
1749,,303,711,355,724,5,13,52
1750,,355,711,418,724,5,13,62
1751,,418,711,486,724,5,13,67
1752,,57,686,179,711,5,24,122
1753,,179,686,229,711,5,24,50
1754,,229,686,303,711,5,24,73
1755,,303,686,355,711,5,24,52
1756,,355,686,418,711,5,24,62
1757,,418,686,486,711,5,24,67
1758,,57,673,179,686,5,13,122
1759,,179,673,229,686,5,13,50
1760,,229,673,303,686,5,13,73
1761,,303,673,355,686,5,13,52
1762,,355,673,418,686,5,13,62
1763,,418,673,486,686,5,13,67
1764,,57,660,179,673,5,13,122
1765,,179,660,229,673,5,13,50
1766,,229,660,303,673,5,13,73
1767,,303,660,355,673,5,13,52
1768,,355,660,418,673,5,13,62
1769,,418,660,486,673,5,13,67
1770,,57,646,179,660,5,13,122
1771,,179,646,229,660,5,13,50
1772,,229,646,303,660,5,13,73
1773,,303,646,355,660,5,13,52
1774,,355,646,418,660,5,13,62
1775,,418,646,486,660,5,13,67
1776,,57,633,179,646,5,13,122
1777,,179,633,229,646,5,13,50
1778,,229,633,303,646,5,13,73
1779,,303,633,355,646,5,13,52
1780,,355,633,418,646,5,13,62
1781,,418,633,486,646,5,13,67
1782,,57,620,179,633,5,13,122
1783,,179,620,229,633,5,13,50
1784,,229,620,303,633,5,13,73
1785,,303,620,355,633,5,13,52
1786,,355,620,418,633,5,13,62
1787,,418,620,486,633,5,13,67
1788,,57,607,179,620,5,13,122
1789,,179,607,229,620,5,13,50
1790,,229,607,303,620,5,13,73
1791,,303,607,355,620,5,13,52
1792,,355,607,418,620,5,13,62
1793,,418,607,486,620,5,13,67
1794,,57,594,179,607,5,13,122
1795,,179,594,229,607,5,13,50
1796,,229,594,303,607,5,13,73
1797,,303,594,355,607,5,13,52
1798,,355,594,418,607,5,13,62
1799,,418,594,486,607,5,13,67
1800,,57,581,179,594,5,13,122
1801,,179,581,229,594,5,13,50
1802,,229,581,303,594,5,13,73
1803,,303,581,355,594,5,13,52
1804,,355,581,418,594,5,13,62
1805,,418,581,486,594,5,13,67
1806,,57,568,179,581,5,13,122
1807,,179,568,229,581,5,13,50
1808,,229,568,303,581,5,13,73
1809,,303,568,355,581,5,13,52
1810,,355,568,418,581,5,13,62
1811,,418,568,486,581,5,13,67
1812,,57,555,179,568,5,13,122
1813,,179,555,229,568,5,13,50
1814,,229,555,303,568,5,13,73
1815,,303,555,355,568,5,13,52
1816,,355,555,418,568,5,13,62
1817,,418,555,486,568,5,13,67
1818,,57,542,179,555,5,13,122
1819,,179,542,229,555,5,13,50
1820,,229,542,303,555,5,13,73
1821,,303,542,355,555,5,13,52
1822,,355,542,418,555,5,13,62
1823,,418,542,486,555,5,13,67
1824,,57,517,179,542,5,24,122
1825,,179,517,229,542,5,24,50
1826,,229,517,303,542,5,24,73
1827,,303,517,355,542,5,24,52
1828,,355,517,418,542,5,24,62
1829,,418,517,486,542,5,24,67
1830,,57,504,179,517,5,13,122
1831,,179,504,229,517,5,13,50
1832,,229,504,303,517,5,13,73
1833,,303,504,355,517,5,13,52
1834,,355,504,418,517,5,13,62
1835,,418,504,486,517,5,13,67
1836,,57,490,179,504,5,13,122
1837,,179,490,229,504,5,13,50
1838,,229,490,303,504,5,13,73
1839,,303,490,355,504,5,13,52
1840,,355,490,418,504,5,13,62
1841,,418,490,486,504,5,13,67
1842,,57,477,179,490,5,13,122
1843,,179,477,229,490,5,13,50
1844,,229,477,303,490,5,13,73
1845,,303,477,355,490,5,13,52
1846,,355,477,418,490,5,13,62
1847,,418,477,486,490,5,13,67
1848,,57,464,179,477,5,13,122
1849,,179,464,229,477,5,13,50
1850,,229,464,303,477,5,13,73
1851,,303,464,355,477,5,13,52
1852,,355,464,418,477,5,13,62
1853,,418,464,486,477,5,13,67
1854,,57,451,179,464,5,13,122
1855,,179,451,229,464,5,13,50
1856,,229,451,303,464,5,13,73
1857,,303,451,355,464,5,13,52
1858,,355,451,418,464,5,13,62
1859,,418,451,486,464,5,13,67
1860,,57,438,179,451,5,13,122
1861,,179,438,229,451,5,13,50
1862,,229,438,303,451,5,13,73
1863,,303,438,355,451,5,13,52
1864,,355,438,418,451,5,13,62
1865,,418,438,486,451,5,13,67
1866,,57,425,179,438,5,13,122
1867,,179,425,229,438,5,13,50
1868,,229,425,303,438,5,13,73
1869,,303,425,355,438,5,13,52
1870,,355,425,418,438,5,13,62
1871,,418,425,486,438,5,13,67
1872,,57,412,179,425,5,13,122
1873,,179,412,229,425,5,13,50
1874,,229,412,303,425,5,13,73
1875,,303,412,355,425,5,13,52
1876,,355,412,418,425,5,13,62
1877,,418,412,486,425,5,13,67
1878,,57,399,179,412,5,13,122
1879,,179,399,229,412,5,13,50
1880,,229,399,303,412,5,13,73
1881,,303,399,355,412,5,13,52
1882,,355,399,418,412,5,13,62
1883,,418,399,486,412,5,13,67
1884,,57,385,179,399,5,13,122
1885,,179,385,229,399,5,13,50
1886,,229,385,303,399,5,13,73
1887,,303,385,355,399,5,13,52
1888,,355,385,418,399,5,13,62
1889,,418,385,486,399,5,13,67
1890,,57,372,179,385,5,13,122
1891,,179,372,229,385,5,13,50
1892,,229,372,303,385,5,13,73
1893,,303,372,355,385,5,13,52
1894,,355,372,418,385,5,13,62
1895,,418,372,486,385,5,13,67
1896,,57,348,179,372,5,24,122
1897,,179,348,229,372,5,24,50
1898,,229,348,303,372,5,24,73
1899,,303,348,355,372,5,24,52
1900,,355,348,418,372,5,24,62
1901,,418,348,486,372,5,24,67
1902,,57,334,179,348,5,13,122
1903,,179,334,229,348,5,13,50
1904,,229,334,303,348,5,13,73
1905,,303,334,355,348,5,13,52
1906,,355,334,418,348,5,13,62
1907,,418,334,486,348,5,13,67
1908,,57,321,179,334,5,13,122
1909,,179,321,229,334,5,13,50
1910,,229,321,303,334,5,13,73
1911,,303,321,355,334,5,13,52
1912,,355,321,418,334,5,13,62
1913,,418,321,486,334,5,13,67
1914,,57,308,179,321,5,13,122
1915,,179,308,229,321,5,13,50
1916,,229,308,303,321,5,13,73
1917,,303,308,355,321,5,13,52
1918,,355,308,418,321,5,13,62
1919,,418,308,486,321,5,13,67
1920,,57,295,179,308,5,13,122
1921,,179,295,229,308,5,13,50
1922,,229,295,303,308,5,13,73
1923,,303,295,355,308,5,13,52
1924,,355,295,418,308,5,13,62
1925,,418,295,486,308,5,13,67
1926,,57,282,179,295,5,13,122
1927,,179,282,229,295,5,13,50
1928,,229,282,303,295,5,13,73
1929,,303,282,355,295,5,13,52
1930,,355,282,418,295,5,13,62
1931,,418,282,486,295,5,13,67
1932,,57,269,179,282,5,13,122
1933,,179,269,229,282,5,13,50
1934,,229,269,303,282,5,13,73
1935,,303,269,355,282,5,13,52
1936,,355,269,418,282,5,13,62
1937,,418,269,486,282,5,13,67
1938,,57,256,179,269,5,13,122
1939,,179,256,229,269,5,13,50
1940,,229,256,303,269,5,13,73
1941,,303,256,355,269,5,13,52
1942,,355,256,418,269,5,13,62
1943,,418,256,486,269,5,13,67
1944,,57,243,179,256,5,13,122
1945,,179,243,229,256,5,13,50
1946,,229,243,303,256,5,13,73
1947,,303,243,355,256,5,13,52
1948,,355,243,418,256,5,13,62
1949,,418,243,486,256,5,13,67
1950,,57,229,179,243,5,13,122
1951,,179,229,229,243,5,13,50
1952,,229,229,303,243,5,13,73
1953,,303,229,355,243,5,13,52
1954,,355,229,418,243,5,13,62
1955,,418,229,486,243,5,13,67
1956,,57,216,179,229,5,13,122
1957,,179,216,229,229,5,13,50
1958,,229,216,303,229,5,13,73
1959,,303,216,355,229,5,13,52
1960,,355,216,418,229,5,13,62
1961,,418,216,486,229,5,13,67
1962,,57,203,179,216,5,13,122
1963,,179,203,303,216,5,13,124
1964,,303,203,418,216,5,13,114
1965,,418,203,486,216,5,13,67
1966,,57,190,179,203,5,13,122
1967,,179,190,303,203,5,13,124
1968,,303,190,418,203,5,13,114
1969,,418,190,486,203,5,13,67
1970,,57,177,179,190,5,13,122
1971,,179,177,303,190,5,13,124
1972,,303,177,418,190,5,13,114
1973,,418,177,486,190,5,13,67
1974,,57,164,179,177,5,13,122
1975,,179,164,229,177,5,13,50
1976,,229,164,303,177,5,13,73
1977,,303,164,355,177,5,13,52
1978,,355,164,418,177,5,13,62
1979,,418,164,486,177,5,13,67
1980,,57,151,179,164,5,13,122
1981,,179,151,229,164,5,13,50
1982,,229,151,303,164,5,13,73
1983,,303,151,355,164,5,13,52
1984,,355,151,418,164,5,13,62
1985,,418,151,486,164,5,13,67
1986,,57,138,179,151,5,13,122
1987,,179,138,229,151,5,13,50
1988,,229,138,303,151,5,13,73
1989,,303,138,355,151,5,13,52
1990,,355,138,418,151,5,13,62
1991,,418,138,486,151,5,13,67
1992,,57,125,179,138,5,13,122
1993,,179,125,229,138,5,13,50
1994,,229,125,303,138,5,13,73
1995,,303,125,355,138,5,13,52
1996,,355,125,418,138,5,13,62
1997,,418,125,486,138,5,13,67
1998,,57,112,179,125,5,13,122
1999,,179,112,229,125,5,13,50
2000,,229,112,303,125,5,13,73
2001,,303,112,355,125,5,13,52
2002,,355,112,418,125,5,13,62
2003,,418,112,486,125,5,13,67
2004,,57,98,179,112,5,13,122
2005,,179,98,229,112,5,13,50
2006,,229,98,303,112,5,13,73
2007,,303,98,355,112,5,13,52
2008,,355,98,418,112,5,13,62
2009,,418,98,486,112,5,13,67
2010,,57,85,179,98,5,13,122
2011,,179,85,229,98,5,13,50
2012,,229,85,303,98,5,13,73
2013,,303,85,355,98,5,13,52
2014,,355,85,418,98,5,13,62
2015,,418,85,486,98,5,13,67
2016,,57,72,179,85,5,13,122
2017,,179,72,229,85,5,13,50
2018,,229,72,303,85,5,13,73
2019,,303,72,355,85,5,13,52
2020,,355,72,418,85,5,13,62
2021,,418,72,486,85,5,13,67
2022,,57,59,179,72,5,13,122
2023,,179,59,229,72,5,13,50
2024,,229,59,303,72,5,13,73
2025,,303,59,355,72,5,13,52
2026,,355,59,418,72,5,13,62
2027,,418,59,486,72,5,13,67
2028,,57,54,179,59,5,4,122
2029,,179,54,229,59,5,4,50
2030,,229,54,303,59,5,4,73
2031,,303,54,355,59,5,4,52
2032,,355,54,418,59,5,4,62
2033,,418,54,486,59,5,4,67
2034,Policies and Procedures - UCM System,54,778,244,794,6,15,190
2035,Page 5 of 8,503,778,558,794,6,15,54
2036,http://mayocontent.mayo.edu/dlmpaz/print/DOCMAN-0000116187,54,0,379,15,6,15,325
2037,6/13/2014,509,0,558,15,6,15,48
2038,,0,0,612,792,6,791,612
2039,≥18,195,724,215,738,6,14,20
2040,122 - 222,243,724,287,738,6,14,44
2041,0.8 - 1.2,220,711,259,725,6,14,38
2042,7 - 60,226,698,253,712,6,14,26
2043,≥18,320,724,338,738,6,14,17
2044,122 - 222,364,724,409,738,6,14,44
2045,0.8 - 1.2,341,711,379,725,6,14,38
2046,7 - 60,347,698,374,712,6,14,26
2047,U/L,444,724,463,738,6,14,19
2048,mmol/L,434,711,472,725,6,14,37
2049,U/L,444,698,463,712,6,14,19
2050,mg/dL,437,685,469,699,6,14,31
2051,Near Optimal 100-129,187,660,291,674,6,14,103
2052,Near Optimal 100-129,308,660,424,674,6,14,115
2053,Borderline High 130-159 Borderline High 130 –,182,641,414,661,6,20,231
2054,High 160-189,208,622,271,636,6,14,63
2055,Very High > or =190,192,609,287,623,6,14,94
2056,1.8 - 8.6,220,596,259,610,6,14,38
2057,High 160-189,328,622,392,636,6,14,63
2058,Very High > or =190,313,609,407,623,6,14,94
2059,Premenopausal,323,596,397,610,6,14,73
2060,Follicular 2.1 - 10.9,315,583,405,597,6,14,89
2061,Midcycle 20.0 - 100.0,310,570,410,584,6,14,100
2062,Luteal 1.2 - 12.9,322,557,398,571,6,14,76
2063,Postmenopausal 10.0 -,306,544,414,558,6,14,108
2064,60.0,350,532,370,546,6,14,20
2065,1.8-2.3,344,519,376,533,6,14,32
2066,,421,609,424,623,6,13,2
2067,,418,506,424,519,6,13,5
2068,LuteinizingHormoneMagnesiumNT-proBNP,57,60,168,738,6,678,110
2069,,57,724,63,738,6,14,5
2070,Lithium,57,711,98,726,6,14,40
2071,Lipase,57,698,94,713,6,14,36
2072,Low Density,57,685,123,700,6,14,65
2073,Cholesterol (LDL),57,673,149,688,6,14,91
2074,,57,660,63,674,6,13,5
2075,,57,641,63,655,6,13,5
2076,,57,622,63,636,6,13,5
2077,,57,609,63,623,6,13,5
2078,Luteinizing Hormone,57,596,168,611,6,14,110
2079,,57,583,63,597,6,14,5
2080,,57,570,63,584,6,14,5
2081,,57,557,63,571,6,14,5
2082,,57,538,63,552,6,14,5
2083,Magnesium,57,519,118,533,6,14,60
2084,NT-proBNP,57,505,117,520,6,14,59
2085,,57,492,63,506,6,13,5
2086,,57,479,63,493,6,13,5
2087,,57,466,63,480,6,13,5
2088,,57,453,63,467,6,13,5
2089,,57,440,63,454,6,13,5
2090,,57,427,63,441,6,13,5
2091,,57,414,63,428,6,13,5
2092,,57,401,63,415,6,13,5
2093,,57,388,63,401,6,13,5
2094,,57,374,63,388,6,13,5
2095,,57,361,63,375,6,13,5
2096,,57,348,63,362,6,13,5
2097,,57,335,63,349,6,13,5
2098,,57,322,63,336,6,13,5
2099,,57,309,63,323,6,13,5
2100,,57,296,63,310,6,13,5
2101,,57,283,63,297,6,13,5
2102,,57,270,63,283,6,13,5
2103,,57,256,63,270,6,13,5
2104,,57,243,63,257,6,13,5
2105,,57,230,63,244,6,13,5
2106,,57,217,63,231,6,13,5
2107,,57,204,63,218,6,13,5
2108,,57,191,63,205,6,13,5
2109,,57,178,63,192,6,13,5
2110,,57,165,63,179,6,13,5
2111,,57,152,63,165,6,13,5
2112,,57,138,63,152,6,13,5
2113,,57,125,63,139,6,13,5
2114,,57,112,63,126,6,13,5
2115,,57,99,63,113,6,13,5
2116,,57,86,63,100,6,13,5
2117,,57,73,63,87,6,13,5
2118,,57,60,63,74,6,13,5
2119,,180,583,185,597,6,13,5
2120,,180,570,185,584,6,13,5
2121,,180,557,185,571,6,13,5
2122,,180,538,185,552,6,13,5
2123,Age,195,505,216,520,6,14,21
2124,<45,195,492,216,506,6,14,20
2125,46,198,479,213,493,6,14,14
2126,47,198,466,213,480,6,14,14
2127,48,198,453,213,467,6,14,14
2128,49,198,440,213,454,6,14,14
2129,50,198,427,213,441,6,14,14
2130,51,198,414,213,428,6,14,14
